model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,31,smc,2,00 1 10,3,-6700.429655797994,0,1
model1,31,smc,3,0 1,2,-6757.737565746407,0,1
model1,32,smc,0,000000 1 10 100 1000 10000 100000,7,-6720.7694529860155,0,2
model1,32,smc,1,000 1 10 100,4,-6722.2680519872065,0,2
model1,32,smc,2,00 1 10,3,-6723.314233209021,1,2
model1,32,smc,3,0 1,2,-6770.179011181468,0,2
model1,33,smc,0,000000 1 10 100 1000 10000 100000,7,-6868.076380797029,0,2
model1,33,smc,1,0000 1 10 100 1000,5,-6868.886510150258,0,2
model1,33,smc,2,000 1 10 100,4,-6868.926568054211,1,2
model1,33,smc,3,00 1 10,3,-6875.1914434914415,0,2
model1,33,smc,4,0 1,2,-6928.068261812017,0,2
model1,34,smc,0,000000 1 10 100 1000 10000 100000,7,-6794.524058006378,0,1
model1,34,smc,1,000 1 10 100,4,-6795.937532747216,1,1
model1,34,smc,2,00 1 10,3,-6808.00208212286,0,1
model1,34,smc,3,0 1,2,-6854.878012634095,0,1
model1,35,smc,0,000000 1 10 100 1000 10000 100000,7,-6761.263125930357,0,1
model1,35,smc,1,000 1 10 100,4,-6762.56115089338,1,1
model1,35,smc,2,00 1 10,3,-6765.65942447093,0,1
model1,35,smc,3,0 1,2,-6818.89369345956,0,1
model1,36,smc,0,000000 1 10 100 1000 10000 100000,7,-6836.381595635069,0,3
model1,36,smc,1,00000 1 10 100 1000 10000,6,-6836.414582171119,0,3
model1,36,smc,2,000 1 10 100,4,-6837.437494191399,0,3
model1,36,smc,3,00 1 10,3,-6839.965216322975,1,3
model1,36,smc,4,0 1,2,-6881.651891109956,0,3
model1,37,smc,0,000000 1 10 100 1000 10000 100000,7,-6599.881472354279,0,1
model1,37,smc,1,000 1 10 100,4,-6602.7997825901975,1,1
model1,37,smc,2,00 1 10,3,-6610.972291959797,0,1
model1,37,smc,3,0 1,2,-6654.170844779948,0,1
model1,38,smc,0,000000 1 10 100 1000 10000 100000,7,-6753.348216259783,0,2
model1,38,smc,1,00000 1 10 100 1000 10000,6,-6753.502214495922,0,2
model1,38,smc,2,00 1 10,3,-6757.212739442895,1,2
model1,38,smc,3,0 1,2,-6810.167174820057,0,2
model1,39,smc,0,000000 1 10 100 1000 10000 100000,7,-6799.943844362094,0,3
model1,39,smc,1,00000 1 10 100 1000 10000,6,-6799.9545442909875,0,3
model1,39,smc,2,0000 1 10 100 1000,5,-6800.37629731821,0,3
model1,39,smc,3,000 1 10 100,4,-6800.394396025838,1,3
model1,39,smc,4,00 1 10,3,-6803.821182701995,0,3
model1,39,smc,5,0 1,2,-6850.397885205681,0,3
model1,40,smc,0,000000 1 10 100 1000 10000 100000,7,-6837.02000245389,0,1
model1,40,smc,1,000 1 10 100,4,-6838.275447843608,1,1
model1,40,smc,2,00 1 10,3,-6847.377537575607,0,1
model1,40,smc,3,0 1,2,-6879.755003200116,0,1
model1,41,smc,0,000000 1 10 100 1000 10000 100000,7,-6786.118404577225,0,2
model1,41,smc,1,00000 1 10 100 1000 10000,6,-6786.651173812403,0,2
model1,41,smc,2,000 1 10 100,4,-6787.5512341161375,1,2
model1,41,smc,3,00 1 10,3,-6795.6271206869715,0,2
model1,41,smc,4,0 1,2,-6851.680759672585,0,2
model1,42,smc,0,000000 1 10 100 1000 10000 100000,7,-6777.098178564026,0,2
model1,42,smc,1,0000 1 10 100 1000,5,-6777.551691968303,0,2
model1,42,smc,2,000 1 10 100,4,-6777.797430522669,1,2
model1,42,smc,3,00 1 10,3,-6785.16048700484,0,2
model1,42,smc,4,0 1,2,-6844.952601338731,0,2
model1,43,smc,0,000000 1 10 100 1000 10000 100000,7,-6839.853585402213,0,2
model1,43,smc,1,0000 1 10 100 1000,5,-6840.921126958379,0,2
model1,43,smc,2,00 1 10,3,-6844.770671592052,1,2
model1,43,smc,3,0 1,2,-6882.9273064133495,0,2
model1,44,smc,0,000000 1 10 100 1000 10000 100000,7,-6759.350721480757,0,3
model1,44,smc,1,00000 1 10 100 1000 10000,6,-6759.361487079027,0,3
model1,44,smc,2,0000 1 10 100 1000,5,-6759.427496526653,0,3
model1,44,smc,3,000 1 10 100,4,-6759.697745516891,1,3
model1,44,smc,4,00 1 10,3,-6761.470918116496,0,3
model1,44,smc,5,0 1,2,-6816.633765871843,0,3
model1,45,smc,0,000000 1 10 100 1000 10000 100000,7,-6878.373915375677,0,1
model1,45,smc,1,000 1 10 100,4,-6878.525021228442,1,1
model1,45,smc,2,00 1 10,3,-6880.083555128087,0,1
model1,45,smc,3,0 1,2,-6928.4000715962975,0,1
model1,46,smc,0,000000 1 10 100 1000 10000 100000,7,-6775.338645954058,0,3
model1,46,smc,1,00000 1 10 100 1000 10000,6,-6775.378304661915,0,3
model1,46,smc,2,0000 1 10 100 1000,5,-6775.597058962454,0,3
model1,46,smc,3,000 1 10 100,4,-6776.100044552813,1,3
model1,46,smc,4,00 1 10,3,-6778.988141246638,0,3
model1,46,smc,5,0 1,2,-6835.000371648512,0,3
model1,47,smc,0,000000 1 10 100 1000 10000 100000,7,-6781.320877479787,0,3
model1,47,smc,1,00000 1 10 100 1000 10000,6,-6781.500380529043,0,3
model1,47,smc,2,0000 1 10 100 1000,5,-6781.934569686535,0,3
model1,47,smc,3,00 1 10,3,-6784.1619386048205,1,3
model1,47,smc,4,0 1,2,-6849.439317293889,0,3
model1,48,smc,0,000000 1 10 100 1000 10000 100000,7,-6647.045783297119,0,3
model1,48,smc,1,00000 1 10 100 1000 10000,6,-6647.159565109775,0,3
model1,48,smc,2,000 1 10 100,4,-6648.985906550048,0,3
model1,48,smc,3,00 1 10,3,-6651.222824129077,1,3
model1,48,smc,4,0 1,2,-6720.5443192288985,0,3
model1,49,smc,0,000000 1 10 100 1000 10000 100000,7,-6763.892506558503,0,1
model1,49,smc,1,000 1 10 100,4,-6766.031093957706,1,1
model1,49,smc,2,00 1 10,3,-6767.303022131322,0,1
model1,49,smc,3,0 1,2,-6821.4742820662805,0,1
model1,50,smc,0,000000 1 10 100 1000 10000 100000,7,-6753.459050144925,0,2
model1,50,smc,1,00000 1 10 100 1000 10000,6,-6753.602295243332,0,2
model1,50,smc,2,000 1 10 100,4,-6754.739196311233,1,2
model1,50,smc,3,00 1 10,3,-6758.113816224593,0,2
model1,50,smc,4,0 1,2,-6801.098271472225,0,2
model1,51,smc,0,000000 1 10 100 1000 10000 100000,7,-6651.312066715786,0,2
model1,51,smc,1,00000 1 10 100 1000 10000,6,-6652.015223007652,0,2
model1,51,smc,2,000 1 10 100,4,-6654.062705945724,1,2
model1,51,smc,3,00 1 10,3,-6657.723613717779,0,2
model1,51,smc,4,0 1,2,-6717.226121836878,0,2
model1,52,smc,0,000000 1 10 100 1000 10000 100000,7,-6736.269356355306,0,2
model1,52,smc,1,00000 1 10 100 1000 10000,6,-6736.591402746239,0,2
model1,52,smc,2,00 1 10,3,-6738.964663489099,1,2
model1,52,smc,3,0 1,2,-6788.4352523123,0,2
model1,53,smc,0,000000 1 10 100 1000 10000 100000,7,-6760.966935317384,0,1
model1,53,smc,1,000 1 10 100,4,-6761.880366961132,1,1
model1,53,smc,2,00 1 10,3,-6764.879861722861,0,1
model1,53,smc,3,0 1,2,-6814.693882700734,0,1
model1,54,smc,0,000000 1 10 100 1000 10000 100000,7,-6774.815074141665,0,3
model1,54,smc,1,00000 1 10 100 1000 10000,6,-6774.820752880549,0,3
model1,54,smc,2,0000 1 10 100 1000,5,-6774.98553377541,0,3
model1,54,smc,3,000 1 10 100,4,-6775.223695108883,1,3
model1,54,smc,4,00 1 10,3,-6780.840718952718,0,3
