model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,32,0
model1,5000,smc,0,0 1,2,33,0
model1,5000,smc,1,00 1 10,3,33,0
model1,5000,smc,2,000 1 10 100,4,33,0
model1,5000,smc,3,00000 1 10 100 1000 10000,6,33,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,33,0
model1,5000,smc,0,0 1,2,34,0
model1,5000,smc,1,00 1 10,3,34,0
model1,5000,smc,2,000 1 10 100,4,34,0
model1,5000,smc,3,0000 1 10 100 1000,5,34,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,34,1
model1,5000,smc,0,0 1,2,35,0
model1,5000,smc,1,00 1 10,3,35,0
model1,5000,smc,2,000000 1 10 100 1000 10000 100000,7,35,1
model1,5000,smc,0,0 1,2,36,0
model1,5000,smc,1,00 1 10,3,36,0
model1,5000,smc,2,000 1 10 100,4,36,0
model1,5000,smc,3,0000 1 10 100 1000,5,36,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,36,1
model1,5000,smc,0,0 1,2,37,0
model1,5000,smc,1,00 1 10,3,37,0
model1,5000,smc,2,000 1 10 100,4,37,0
model1,5000,smc,3,0000 1 10 100 1000,5,37,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,37,1
model1,5000,smc,0,0 1,2,38,0
model1,5000,smc,1,00 1 10,3,38,0
model1,5000,smc,2,000 1 10 100,4,38,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,38,0
model1,5000,smc,0,0 1,2,39,0
model1,5000,smc,1,00 1 10,3,39,0
model1,5000,smc,2,000 1 10 100,4,39,0
model1,5000,smc,3,0000 1 10 100 1000,5,39,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,39,1
model1,5000,smc,5,000000 1 10 100 1000 10000 100000,7,39,0
model1,5000,smc,0,0 1,2,40,0
model1,5000,smc,1,00 1 10,3,40,0
model1,5000,smc,2,000 1 10 100,4,40,0
model1,5000,smc,3,0000 1 10 100 1000,5,40,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,40,0
model1,5000,smc,0,0 1,2,41,0
model1,5000,smc,1,00 1 10,3,41,0
model1,5000,smc,2,000 1 10 100,4,41,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,41,0
model1,5000,smc,0,0 1,2,42,0
model1,5000,smc,1,00 1 10,3,42,0
model1,5000,smc,2,000 1 10 100,4,42,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,42,0
model1,5000,smc,0,0 1,2,43,0
model1,5000,smc,1,00 1 10,3,43,0
model1,5000,smc,2,000 1 10 100,4,43,0
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,43,1
model1,5000,smc,0,0 1,2,44,0
model1,5000,smc,1,00 1 10,3,44,0
model1,5000,smc,2,00000 1 10 100 1000 10000,6,44,1
model1,5000,smc,0,0 1,2,45,0
