sample_size,model_name,estimation_method,resample_n,sample_idx,tree_idx,tree,num_contexts,resample_idx,likelihood
5000,model1,smc,n1,13,1,00 1 10,3,2,-449.3382163973262
5000,model1,smc,n1,13,2,000 1 10 100,4,0,-367.3694072067213
5000,model1,smc,n1,13,2,000 1 10 100,4,1,-376.1093333698229
5000,model1,smc,n1,13,2,000 1 10 100,4,2,-359.7422050519558
5000,model1,smc,n2,13,0,0 1,2,0,-2544.819787703318
5000,model1,smc,n2,13,0,0 1,2,1,-2549.597116326403
5000,model1,smc,n2,13,0,0 1,2,2,-2546.4404817318605
5000,model1,smc,n2,13,1,00 1 10,3,0,-1367.2201615222334
5000,model1,smc,n2,13,1,00 1 10,3,1,-1378.2487600507761
5000,model1,smc,n2,13,1,00 1 10,3,2,-1383.5418391767432
5000,model1,smc,n2,13,2,000 1 10 100,4,0,-1104.9152359151565
5000,model1,smc,n2,13,2,000 1 10 100,4,1,-1122.25325549111
5000,model1,smc,n2,13,2,000 1 10 100,4,2,-1117.768526303389
5000,model1,smc,n1,14,0,0 1,2,0,-770.3188188760798
5000,model1,smc,n1,14,0,0 1,2,1,-826.1016209304332
5000,model1,smc,n1,14,0,0 1,2,2,-845.7922164939012
5000,model1,smc,n1,14,1,00 1 10,3,0,-408.9177829756019
5000,model1,smc,n1,14,1,00 1 10,3,1,-441.8134779328089
5000,model1,smc,n1,14,1,00 1 10,3,2,-454.2678321220527
5000,model1,smc,n1,14,2,000 1 10 100,4,0,-353.9572215281761
5000,model1,smc,n1,14,2,000 1 10 100,4,1,-366.4201060306608
5000,model1,smc,n1,14,2,000 1 10 100,4,2,-375.7266521412853
5000,model1,smc,n2,14,0,0 1,2,0,-2424.451107048403
5000,model1,smc,n2,14,0,0 1,2,1,-2451.0627670520075
5000,model1,smc,n2,14,0,0 1,2,2,-2532.2155745887003
5000,model1,smc,n2,14,1,00 1 10,3,0,-1288.6263467550143
5000,model1,smc,n2,14,1,00 1 10,3,1,-1303.9941934898875
5000,model1,smc,n2,14,1,00 1 10,3,2,-1362.4242150258938
5000,model1,smc,n2,14,2,000 1 10 100,4,0,-1102.1574483023346
5000,model1,smc,n2,14,2,000 1 10 100,4,1,-1100.460229559603
5000,model1,smc,n2,14,2,000 1 10 100,4,2,-1126.6738029276287
5000,model1,smc,n1,15,0,0 1,2,0,-844.1541219910534
5000,model1,smc,n1,15,0,0 1,2,1,-845.9072554431516
5000,model1,smc,n1,15,0,0 1,2,2,-814.119388366171
5000,model1,smc,n1,15,1,00 1 10,3,0,-452.3559811595964
5000,model1,smc,n1,15,1,00 1 10,3,1,-451.56597441321475
5000,model1,smc,n1,15,1,00 1 10,3,2,-435.59549192087775
5000,model1,smc,n1,15,2,000 1 10 100,4,0,-369.28672319270504
5000,model1,smc,n1,15,2,000 1 10 100,4,1,-377.0609265485091
5000,model1,smc,n1,15,2,000 1 10 100,4,2,-342.8687092515307
5000,model1,smc,n2,15,0,0 1,2,0,-2540.7337914998684
5000,model1,smc,n2,15,0,0 1,2,1,-2518.524043984762
5000,model1,smc,n2,15,0,0 1,2,2,-2458.859156640093
5000,model1,smc,n2,15,1,00 1 10,3,0,-1349.396572946084
5000,model1,smc,n2,15,1,00 1 10,3,1,-1350.641117441781
5000,model1,smc,n2,15,1,00 1 10,3,2,-1315.696296063424
5000,model1,smc,n2,15,2,000 1 10 100,4,0,-1122.8186516695391
5000,model1,smc,n2,15,2,000 1 10 100,4,1,-1107.7748146124088
5000,model1,smc,n2,15,2,000 1 10 100,4,2,-1062.9863583957194
5000,model1,smc,n1,16,0,0 1,2,0,-827.7066423094816
5000,model1,smc,n1,16,0,0 1,2,1,-860.3664064765064
5000,model1,smc,n1,16,0,0 1,2,2,-838.7465686341372
5000,model1,smc,n1,16,1,00 1 10,3,0,-439.83111670999415
5000,model1,smc,n1,16,1,00 1 10,3,1,-466.65994830268227
5000,model1,smc,n1,16,1,00 1 10,3,2,-451.53736933495
5000,model1,smc,n1,16,2,000 1 10 100,4,0,-358.4422902276478
5000,model1,smc,n1,16,2,000 1 10 100,4,1,-370.64099335159085
