model_name,sample_idx,method,tree_idx,tree,num_contexts,opt
model2,8,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model2,8,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model2,8,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model2,8,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model2,8,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model2,8,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model2,8,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,0
model2,8,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model2,8,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,0
model2,8,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,0
model2,8,prune,12,00000 000010 1 100 1000 10000 100010 10010 1010,9,0
model2,8,prune,13,0000 000010 1 100 1000 100010 10010 1010,8,0
model2,8,prune,14,000 000010 1 100 100010 10010 1010,7,0
model2,8,prune,15,000 00010 1 100 10010 1010,6,0
model2,8,prune,16,000 0010 1 100 1010,5,0
model2,8,prune,17,000 1 10 100,4,0
model2,8,prune,18,00 1 10,3,0
model2,8,prune,19,0 1,2,0
model2,9,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model2,9,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model2,9,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model2,9,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model2,9,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model2,9,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model2,9,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model2,9,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model2,9,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,0
model2,9,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,0
model2,9,prune,10,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,0
model2,9,prune,11,0000 000010 00100 001010 1 1000 100010 10010 10100 101010,10,0
model2,9,prune,12,0000 000010 001010 1 100 1000 100010 10010 101010,9,0
model2,9,prune,13,0000 00010 001010 1 100 1000 10010 101010,8,0
model2,9,prune,14,0000 0010 001010 1 100 1000 101010,7,0
