model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,2,prune,19,0 1,2,-6861.914287955544,0,17
model1,3,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20434.2723457979,0,16
model1,3,prune,1, 000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,21,-20434.2723457979,0,16
model1,3,prune,2, 000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,20,-20434.2723457979,0,16
model1,3,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20434.2723457979,0,16
model1,3,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20434.2723457979,0,16
model1,3,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20434.2723457979,0,16
model1,3,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20434.2723457979,0,16
model1,3,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6841.461452484998,0,16
model1,3,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6841.462648234417,0,16
model1,3,prune,9,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-6841.4871400194925,0,16
model1,3,prune,10,00000 00010 000100 001010 1 1000 10000 10010 100100 10100 101010,11,-6841.516651152462,0,16
model1,3,prune,11,00000 000100 0010 001010 1 1000 10000 100100 10100 101010,10,-6841.516912268277,0,16
model1,3,prune,12,0000 000100 0010 001010 1 1000 100100 10100 101010,9,-6841.551815232323,0,16
model1,3,prune,13,0000 0010 00100 001010 1 1000 10100 101010,8,-6841.820034382923,0,16
model1,3,prune,14,0000 0010 001010 1 100 1000 101010,7,-6841.892550019465,0,16
model1,3,prune,15,0000 0010 1 100 1000 1010,6,-6842.293208450483,0,16
model1,3,prune,16,0000 1 10 100 1000,5,-6842.56756942482,1,16
model1,3,prune,17,000 1 10 100,4,-6844.932192213208,0,16
model1,3,prune,18,00 1 10,3,-6850.080948157245,0,16
model1,3,prune,19,0 1,2,-6893.08231532689,0,16
model1,4,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20362.8891443529,0,18
model1,4,prune,1, 000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,21,-20362.889144352896,0,18
model1,4,prune,2, 000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,20,-20362.889144352896,0,18
model1,4,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20362.889144352896,0,18
model1,4,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20362.8891443529,0,18
model1,4,prune,5, 000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,17,-20362.889144352896,0,18
model1,4,prune,6, 000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,16,-20362.889144352896,0,18
model1,4,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-6756.14617255881,0,18
model1,4,prune,8,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-6756.147375186626,0,18
model1,4,prune,9,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-6756.176295464041,0,18
model1,4,prune,10,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,-6756.3672321938275,0,18
model1,4,prune,11,0000 000100 0010 001000 001010 1 100100 10100 101000 101010,10,-6756.596889604094,0,18
model1,4,prune,12,0000 0010 00100 001000 001010 1 10100 101000 101010,9,-6756.8451748365715,0,18
model1,4,prune,13,0000 0010 001000 001010 1 100 101000 101010,8,-6756.899870006893,0,18
model1,4,prune,14,0000 0010 001010 1 100 1000 101010,7,-6757.20804617769,0,18
model1,4,prune,15,000 0010 001010 1 100 101010,6,-6757.352148168572,0,18
model1,4,prune,16,000 0010 1 100 1010,5,-6758.378429404536,0,18
model1,4,prune,17,000 1 10 100,4,-6758.380620759036,0,18
model1,4,prune,18,00 1 10,3,-6761.523370242026,1,18
model1,4,prune,19,0 1,2,-6796.556063668861,0,18
model1,5,prune,0, 000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,22,-20320.246670417833,0,17
model1,5,prune,1, 000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,21,-20320.246670417833,0,17
model1,5,prune,2, 000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,20,-20320.24667041783,0,17
model1,5,prune,3, 000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,19,-20320.246670417833,0,17
model1,5,prune,4, 000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-20320.246670417833,0,17
