model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,5,prune,15,000 0010 1 100 1010,5,-1705.210903941298,0
model1,5,prune,16,000 1 10 100,4,-1705.2292549886704,0
model1,5,prune,17,00 1 10,3,-1707.9127287944623,1
model1,5,prune,18,0 1,2,-1725.9678588667748,0
model1,6,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1665.6482045955281,0
model1,6,prune,1,000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,20,-1665.6482045955281,0
model1,6,prune,2,000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,19,-1665.6482045955281,0
model1,6,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1665.6482045955281,0
model1,6,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1665.6482045955281,0
model1,6,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1665.6482045955281,0
model1,6,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1665.6482045955281,0
model1,6,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1665.6482045955281,0
model1,6,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1665.653311163454,0
model1,6,prune,9,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1665.6544540511873,0
model1,6,prune,10,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-1665.7146195649432,0
model1,6,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1665.896537934506,0
model1,6,prune,12,00000 000010 1 100 1000 10000 100010 10010 1010,9,-1667.049510830581,0
model1,6,prune,13,0000 000010 1 100 1000 100010 10010 1010,8,-1667.0540006180915,0
model1,6,prune,14,000 000010 1 100 100010 10010 1010,7,-1667.3587279956037,0
model1,6,prune,15,000 00010 1 100 10010 1010,6,-1669.3614864959195,1
model1,6,prune,16,000 0010 1 100 1010,5,-1669.522405710171,0
model1,6,prune,17,000 1 10 100,4,-1669.6051213858707,0
model1,6,prune,18,00 1 10,3,-1671.8741999389733,0
model1,6,prune,19,0 1,2,-1680.6993185017152,0
model1,7,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1683.5381137282197,0
model1,7,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,-1683.53811372822,0
model1,7,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,-1683.53811372822,0
model1,7,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1683.53811372822,0
model1,7,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1683.53811372822,0
model1,7,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1683.5381137282197,0
model1,7,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1683.53811372822,0
model1,7,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1683.53811372822,0
model1,7,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1683.5553704543565,0
model1,7,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1683.5750023271353,0
model1,7,prune,10,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010,11,-1683.718349389168,0
model1,7,prune,11,0000 000010 00100 001010 1 1000 100010 10010 10100 101010,10,-1684.0282272158654,0
model1,7,prune,12,000 000010 00100 001010 1 100010 10010 10100 101010,9,-1684.0284764846201,0
model1,7,prune,13,000 000010 001010 1 100 100010 10010 101010,8,-1684.6325629258813,0
model1,7,prune,14,00 000010 001010 1 100010 10010 101010,7,-1684.7983827979078,0
model1,7,prune,15,00 00010 001010 1 10010 101010,6,-1685.2490017329853,1
model1,7,prune,16,00 0010 001010 1 101010,5,-1685.3435019898866,0
model1,7,prune,17,00 0010 1 1010,4,-1686.0814012455637,0
model1,7,prune,18,00 1 10,3,-1690.3062629774884,0
model1,7,prune,19,0 1,2,-1704.561584636912,0
model1,8,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1743.1849089222976,0
model1,8,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,-1743.1849089222976,0
model1,8,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,-1743.1849089222974,0
model1,8,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1743.1849089222976,0
model1,8,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1743.1849089222974,0
