model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,1,smc,443.1972514308824,10,,1,-3418.366949275034,0,7
model2,2,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1511.9823422310317,0,6
model2,2,smc,0.0008568167686462402,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1511.9859771902911,0,6
model2,2,smc,0.0016172403477301978,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-1511.9928642525315,0,6
model2,2,smc,0.008419598430554584,3,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-1512.0287190697188,0,6
model2,2,smc,0.037483823912698375,4,000 000100 0010 001010 1 100100 10100 101010,8,-1512.5075579799452,0,6
model2,2,smc,0.09826855377313373,5,000 0010 001010 1 100 101010,6,-1513.3445115836307,0,6
model2,2,smc,0.2474818020051313,6,000 1 10 100,4,-1515.4523543811931,1,6
model2,2,smc,0.9249703241708587,7,00 1 10,3,-1519.3914294095612,0,6
model2,2,smc,8.883124475480184,8,0 1,2,-1557.221058932339,0,6
model2,2,smc,436.4026180378412,9,,1,-3415.6837620732335,0,6
model2,3,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1518.9353411778268,0,6
model2,3,smc,0.0001341104507446289,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-1518.9358827223768,0,6
model2,3,smc,0.0034421673484885673,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1518.9505153718878,0,6
model2,3,smc,0.020675241630105416,3,0000 000010 000100 001000 1 100010 10010 100100 1010 10100 101000,11,-1519.038547955125,0,6
model2,3,smc,0.04335387115607203,4,0000 000010 001000 1 100 100010 10010 1010 101000,9,-1519.4077824349133,0,6
model2,3,smc,0.09521286572499937,5,0000 001000 1 10 100 101000,6,-1520.6241618260487,0,6
model2,3,smc,0.10841278046058386,6,000 1 10 100,4,-1521.5474924250757,1,6
model2,3,smc,0.7796017826528515,7,00 1 10,3,-1524.867489841911,0,6
model2,3,smc,4.532904843321093,8,0 1,2,-1544.1712960363832,0,6
model2,3,smc,439.7843795725622,9,,1,-3417.0355489828135,0,6
model2,4,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1543.3070241024222,0,10
model2,4,smc,0.0016093254089355469,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1543.3138762759452,0,10
