model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,3,smc,6.33682524438027,7,0 1,2,-3403.9558410533964,0,6
model1,4,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3332.339189019077,0,5
model1,4,smc,0.006282329559326172,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-3332.3680992926083,0,5
model1,4,smc,0.007593642490466568,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-3332.438039091653,0,5
model1,4,smc,0.009137285562511116,3,000000 0010 001010 1 100 1000 10000 100000 101010,9,-3332.5221729003842,0,5
model1,4,smc,0.08945316549990714,4,00 0010 001010 1 101010,5,-3334.1698743919706,0,5
model1,4,smc,0.10493948796503588,5,00 1 10,3,-3335.1364004316433,1,5
model1,4,smc,4.492673944450859,6,0 1,2,-3355.8259275272503,0,5
model1,5,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3356.1396969459083,0,8
model1,5,smc,0.009907037019729614,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3356.185320326124,0,8
model1,5,smc,0.014651096701534527,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-3356.252790219624,0,8
model1,5,smc,0.018524830984215514,3,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,-3356.338084729539,0,8
model1,5,smc,0.04509463893334467,4,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-3356.545749136665,0,8
model1,5,smc,0.06425484856771965,5,00000 00010 00100 1 1000 10000 10010 1010 10100,9,-3356.8416296750706,0,8
model1,5,smc,0.1474273373494966,6,00000 00100 1 10 1000 10000 10100,7,-3358.1994637831294,0,8
model1,5,smc,0.21464557878192347,7,000 00100 1 10 10100,5,-3360.1764078200854,0,8
model1,5,smc,0.3306608415847795,8,00 1 10,3,-3363.2219022947525,1,8
model1,5,smc,6.379517355586347,9,0 1,2,-3392.600662429284,0,8
model1,6,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3394.6264289923038,0,7
model1,6,smc,0.0019490718841552734,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-3394.6353938630737,0,7
model1,6,smc,0.03558927771081244,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-3394.799287015251,0,7
model1,6,smc,0.042471164096744646,3,0000 000010 001000 001010 1 100 100010 10010 101000 101010,10,-3395.190458991315,0,7
model1,6,smc,0.05170744972827368,4,0000 0010 001000 001010 1 100 101000 101010,8,-3395.666700186698,0,7
model1,6,smc,0.052208614528845565,5,000 0010 001010 1 100 101010,6,-3396.1475570545567,0,7
model1,6,smc,0.07513250733986337,6,000 0010 1 100 1010,5,-3396.493553303696,0,7
model1,6,smc,0.11084460078170677,7,000 1 10 100,4,-3397.0040046034414,1,7
model1,6,smc,0.7041405592039327,8,00 1 10,3,-3400.2466852628795,0,7
model1,6,smc,7.357747507967041,9,0 1,2,-3434.130352004121,0,7
model1,7,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3312.8740752170784,0,7
model1,7,smc,0.04912614822387695,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3313.1002826768768,0,7
model1,7,smc,0.06305784693374505,2,000000 000010 001000 1 100 10000 100000 100010 10010 1010 101000,11,-3313.6810557257954,0,7
model1,7,smc,0.07199290583920345,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-3314.0125694155695,0,7
model1,7,smc,0.13701645047539063,4,0000 000010 1 100 1000 100010 10010 1010,8,-3315.274513874757,0,7
model1,7,smc,0.1462484641471055,5,0000 1 10 100 1000,5,-3317.2949713881044,0,7
model1,7,smc,0.29071002076038177,6,000 1 10 100,4,-3318.633739348995,0,7
model1,7,smc,0.48768934719165125,7,00 1 10,3,-3320.879606354959,1,7
model1,7,smc,5.855893299743345,8,0 1,2,-3347.846990044761,0,7
model1,8,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3338.5742927588994,0,6
model1,8,smc,0.001025572419166565,1,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-3338.5790148772935,0,6
model1,8,smc,0.009727761308209182,2,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-3338.623788165442,0,6
model1,8,smc,0.010454867236458566,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3338.6719261821995,0,6
model1,8,smc,0.10479319547318831,4,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,-3339.1545159682028,0,6
model1,8,smc,0.24698290597673686,5,000 0010 001010 1 100 101010,6,-3343.7041002692235,0,6
model1,8,smc,0.3918331005766392,6,000 1 10 100,4,-3347.3130157560463,1,6
model1,8,smc,1.318218092330797,7,00 1 10,3,-3353.3836309195785,0,6
model1,8,smc,6.533129030886551,8,0 1,2,-3383.469800200152,0,6
model1,9,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3351.864193889477,0,7
model1,9,smc,0.0032067298889160156,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-3351.8789405926345,0,7
model1,9,smc,0.009047797763628296,2,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010,12,-3351.920595328518,0,7
model1,9,smc,0.017142866148555064,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-3352.1574294024617,0,7
model1,9,smc,0.03379354900511368,4,0000 000100 1 10 1000 100100 10100,7,-3352.468637261727,0,7
model1,9,smc,0.050693203455925664,5,000 000100 1 10 100100 10100,6,-3352.7020867178553,0,7
model1,9,smc,0.24887349987064875,6,000 1 10 100,4,-3354.994262555656,0,7
model1,9,smc,0.38040273692856474,7,00 1 10,3,-3356.7460551345625,1,7
model1,9,smc,7.50378098167692,8,0 1,2,-3391.3022431367804,0,7
model1,10,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3400.3230231495513,0,9
model1,10,smc,0.00017881393432617188,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3400.3238246828746,0,9
model1,10,smc,0.0007629384086271784,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-3400.327325947024,0,9
model1,10,smc,0.0016689220970628456,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-3400.3350057121347,0,9
model1,10,smc,0.040235463842699964,4,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,-3400.5202943818645,0,9
model1,10,smc,0.08434898640959716,5,00000 000010 1 100 1000 10000 100010 10010 1010,9,-3400.9087275982447,0,9
model1,10,smc,0.0989993611495679,6,00000 1 10 100 1000 10000,6,-3402.2764330568607,0,9
model1,10,smc,0.11582993532264349,7,0000 1 10 100 1000,5,-3402.8098434583403,0,9
model1,10,smc,0.12560568162323354,8,000 1 10 100,4,-3403.388263294953,0,9
model1,10,smc,0.14750147807732222,9,00 1 10,3,-3404.0675318533977,1,9
model1,10,smc,5.836526865969462,10,0 1,2,-3430.9457275494137,0,9
model1,11,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3439.4940091803965,0,7
model1,11,smc,0.0007748603820800781,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-3439.4975622024876,0,7
model1,11,smc,0.03342901199623327,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,-3439.6515018500904,0,7
model1,11,smc,0.04350478806901639,3,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,-3439.851836523945,0,7
model1,11,smc,0.13634071243651924,4,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,-3440.479708194045,0,7
model1,11,smc,0.1489120501611652,5,00000 00010 00100 1 1000 10000 10010 1010 10100,9,-3441.165472104278,0,7
model1,11,smc,0.22774976891781357,6,00 00010 1 10010 1010,5,-3445.3607629519165,0,7
model1,11,smc,0.3246721745342268,7,00 1 10,3,-3448.3510852358286,1,7
model1,11,smc,5.064129325479846,8,0 1,2,-3471.6722588994303,0,7
model1,12,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-3363.334951016607,0,7
model1,12,smc,0.01538991928100586,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-3363.4058237305035,0,7
model1,12,smc,0.05269668454559451,2,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010,12,-3363.6484906037904,0,7
model1,12,smc,0.06274073198408825,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,-3363.9374051804652,0,7
