model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,14,smc,0.2823031921309314,7,0000 00100 1 10 1000 10100,6,-1662.702787592505,0,9
model1,14,smc,0.2993256029841801,8,0000 1 10 100 1000,5,-1663.9774654782348,0,9
model1,14,smc,0.37320787010966433,9,000 1 10 100,4,-1665.5668071293344,1,9
model1,14,smc,0.8461676153921287,10,00 1 10,3,-1669.1702904577862,0,9
model1,14,smc,2.2516765029025034,11,0 1,2,-1678.759260647466,0,9
model1,14,smc,404.4249782001277,12,,1,-3401.042081495572,0,9
model1,15,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1642.5703246781509,0,6
model1,15,smc,0.0588148832321167,1,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,-1643.0712241823053,0,6
model1,15,smc,0.10187417343221483,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-1643.5050448949855,0,6
model1,15,smc,0.11333083163941174,3,000000 000100 1 10 1000 10000 100000 100100 10100,9,-1644.470275512429,0,6
model1,15,smc,0.11474612108823909,4,000000 00100 1 10 1000 10000 100000 10100,8,-1644.9589056360153,0,6
model1,15,smc,0.1848101993296029,5,0000 00100 1 10 1000 10100,6,-1646.532944895579,0,6
model1,15,smc,0.30739397915530875,6,00 1 10,3,-1650.4601000130388,1,6
model1,15,smc,4.9351649284686685,7,0 1,2,-1671.4769723558534,0,6
model1,15,smc,406.42773957484,8,,1,-3402.2887603723,0,6
model1,16,smc,0.0,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1698.3579991205618,0,4
model1,16,smc,0.007987022399902344,1,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-1698.391988978782,0,4
model1,16,smc,0.010602134414838815,2,00000 0010 00100 001000 001010 1 10000 10100 101000 101010,10,-1698.482260541977,0,4
model1,16,smc,0.07756653285877432,3,00000 00100 001000 1 10 10000 10100 101000,8,-1699.142903972237,0,4
model1,16,smc,0.16662068121811685,4,00 1 10,3,-1702.69072610264,1,4
model1,16,smc,5.531829037865902,5,0 1,2,-1726.2485536501547,0,4
model1,16,smc,391.68604466543655,6,,1,-3394.28140481383,0,4
model1,17,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1739.3590880907568,0,6
model1,17,smc,7.450580596923828e-05,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1739.359395201618,0,6
model1,17,smc,0.01408904582045345,2,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,-1739.4193910985887,0,6
model1,17,smc,0.02367767285186959,3,000000 0010 00100 001010 1 1000 10000 100000 10100 101010,10,-1739.6210525141287,0,6
model1,17,smc,0.025905290955728674,4,000000 0010 001010 1 100 1000 10000 100000 101010,9,-1739.7313640221132,0,6
model1,17,smc,0.03794480539378883,5,000000 1 10 100 1000 10000 100000,7,-1740.0544853231804,0,6
model1,17,smc,0.2340962549432669,6,00 1 10,3,-1744.0421576124327,1,6
model1,17,smc,4.176320680193174,7,0 1,2,-1761.827421467934,0,6
model1,17,smc,382.0646985757195,8,,1,-3388.8868444397876,0,6
model1,18,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1673.0812879470982,0,4
model1,18,smc,0.02714991569519043,1,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1673.312518262339,0,4
model1,18,smc,0.03414563098891321,2,0000 000100 001000 1 10 100100 10100 101000,8,-1673.8941633220759,0,4
model1,18,smc,0.2794615948035115,3,000 000100 1 10 100100 10100,6,-1676.2743858129072,0,4
model1,18,smc,0.30926959923100417,4,00 1 10,3,-1680.2255358860352,1,4
model1,18,smc,2.053280081302775,5,0 1,2,-1688.9696161170398,0,4
model1,18,smc,401.73156014437365,6,,1,-3399.7822701514065,0,4
model1,19,smc,0.0,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1673.4852112173978,0,7
model1,19,smc,0.002942979335784912,1,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010,12,-1673.4977362224624,0,7
model1,19,smc,0.047277398225686884,2,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-1673.6990652721065,0,7
model1,19,smc,0.05614275079514941,3,00000 00010 001000 001010 1 100 10000 10010 101000 101010,10,-1673.9381250338572,0,7
model1,19,smc,0.08721190816693578,4,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1674.309521401158,0,7
model1,19,smc,0.21148826372759688,5,00000 00010 1 100 1000 10000 10010 1010,8,-1675.2101515902148,0,7
model1,19,smc,0.22273388178368214,6,00 00010 1 10010 1010,5,-1678.0557127915483,0,7
model1,19,smc,0.32328680795343745,7,00 1 10,3,-1680.809200086969,1,7
model1,19,smc,2.990143276283888,8,0 1,2,-1693.5430078584702,0,7
model1,19,smc,400.5085698102772,9,,1,-3399.14743770152,0,7
model1,20,smc,0.0,0,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1671.2120359332218,0,6
model1,20,smc,0.018037855625152588,1,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-1671.288845084417,0,6
model1,20,smc,0.01857800323151748,2,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100,11,-1671.3679555914155,0,6
model1,20,smc,0.09036167998901502,3,00000 00010 000100 1 1000 10000 10010 100100 1010 10100,10,-1671.7527684877523,0,6
model1,20,smc,0.18489246075563534,4,00000 00010 00100 1 1000 10000 10010 1010 10100,9,-1672.5401478096046,0,6
model1,20,smc,0.1871419367965196,5,00 00010 1 10010 1010,5,-1675.7279947149018,0,6
model1,20,smc,0.35631853127598606,6,00 1 10,3,-1678.7628253262087,1,6
model1,20,smc,1.5510611745918692,7,0 1,2,-1685.3681488487016,0,6
model1,20,smc,402.72555649072024,8,,1,-3400.4138178012345,0,6
model1,21,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1688.6243474421742,0,9
model1,21,smc,0.004328787326812744,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1688.6427662198985,0,9
model1,21,smc,0.005535770933873252,2,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010,12,-1688.6663359077857,0,9
