sample_idx,tree_idx,tree
21,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
21,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
21,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
21,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
21,4,0000 000010 00100 001010 1 1000 100010 10010 10100 101010
21,5,0000 000010 00100 1 1000 100010 10010 1010 10100
21,6,000 000010 00100 1 100010 10010 1010 10100
21,7,00 000010 1 100010 10010 1010
21,8,00 1 10
21,9,0 1
22,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
22,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
22,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
22,3,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
22,4,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010
22,5,00000 000100 0010 001010 1 1000 10000 100100 10100 101010
22,6,000 000100 0010 001010 1 100100 10100 101010
22,7,000 0010 00100 001010 1 10100 101010
22,8,000 00100 1 10 10100
22,9,000 1 10 100
22,10,00 1 10
22,11,0 1
23,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
23,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
23,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
23,3,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
23,4,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010
23,5,00000 000010 001000 1 100 10000 100010 10010 1010 101000
23,6,00000 001000 1 10 100 10000 101000
23,7,0000 001000 1 10 100 101000
23,8,000 1 10 100
